,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[52],-0.78237,0.467411,0.671203,0.596432,-1.41791,-0.981292,0.256517,4.75879,200.0,0.00963178,3.09331
log_lik[53],0.540978,0.170915,0.245447,0.248967,0.165864,0.586139,0.821762,4.70086,200.0,0.00951452,3.31985
log_lik[54],-0.554997,0.558634,0.802204,1.1094,-1.38233,-0.612823,0.387035,4.74108,200.0,0.00959593,3.14622
log_lik[55],-0.78843,0.660382,0.948309,1.27866,-1.73821,-0.872891,0.326784,4.94941,200.0,0.0100176,2.68343
log_lik[56],-4.28262,1.66267,2.38755,3.41941,-6.95175,-4.35898,-1.54019,4.52882,200.0,0.00916632,4.10762
log_lik[57],-3.34488,1.29474,1.85921,2.59144,-5.38511,-3.4483,-1.16088,4.54197,200.0,0.00919293,3.99985
log_lik[58],0.261616,0.0784389,0.11271,0.15067,0.13561,0.24733,0.415717,4.73668,200.0,0.00958702,3.25937
log_lik[59],-0.219564,0.372714,0.535229,0.770386,-0.831584,-0.20086,0.356083,4.78896,200.0,0.00969285,3.01924
log_lik[60],-1.66464,0.914649,1.31342,1.7657,-3.05212,-1.78276,-0.0896521,4.55611,200.0,0.00922155,3.90587
log_lik[61],-1.26748,0.726089,1.04265,1.32115,-2.32889,-1.40615,0.0326764,4.59107,200.0,0.0092923,3.69737
log_lik[62],-0.180514,0.304848,0.437768,0.486022,-0.671284,-0.254575,0.464014,4.78948,200.0,0.00969389,3.01946
log_lik[63],0.4406,0.140171,0.201309,0.234219,0.160431,0.473922,0.64968,4.7067,200.0,0.00952634,3.28927
log_lik[64],-0.564959,0.453309,0.650956,0.839451,-1.25026,-0.64136,0.27673,4.77264,200.0,0.00965981,3.05673
log_lik[65],-1.1936,0.665337,0.955418,1.23851,-2.15852,-1.30006,-0.0368391,4.68048,200.0,0.00947327,3.3248
log_lik[66],0.659792,0.202872,0.291324,0.267202,0.211067,0.69713,1.03119,4.71264,200.0,0.00953837,3.29738
log_lik[67],0.328952,0.444036,0.664765,0.520356,-0.838898,0.372255,1.11754,4.88733,200.0,0.00989193,2.91887
log_lik[68],-0.32153,0.0715546,0.102817,0.0506368,-0.410261,-0.362744,-0.141292,4.73773,200.0,0.00958915,3.25429
