subject,condition,n_planets,centrality_rt_corr,mean_centrality
10.0,3-planets,3,0.034401563473978686,0.33340266932992246
10.0,4-planets,4,0.06427989421651543,0.16670887090599731
10.0,5-planets,5,-0.07133092873847612,0.09999999999999999
11.0,2-planets,2,,1.0
11.0,3-planets,3,0.12861346340963611,0.3333482974568473
11.0,4-planets,4,-0.06157442957579625,0.16667451191170954
12.0,2-planets,2,,1.0
12.0,3-planets,3,0.12391349682288975,0.33333731058346255
12.0,4-planets,4,-0.06139710498556507,0.16670172416863469
12.0,5-planets,5,-0.0049095981227713515,0.10004318603218473
13.0,2-planets,2,,1.0
13.0,3-planets,3,0.07239708986230095,0.3333469168076273
13.0,4-planets,4,-0.03435969885689587,0.1666759990869797
13.0,5-planets,5,0.2681864586937858,0.10002261609741671
14.0,2-planets,2,,1.0
14.0,3-planets,3,0.02283410340156795,0.3333333333333333
14.0,4-planets,4,0.0589510413528079,0.16667709566980043
14.0,5-planets,5,-0.18217686898994043,0.1
15.0,2-planets,2,,1.0
15.0,3-planets,3,-0.07535290808314474,0.33336810622738533
15.0,4-planets,4,0.05025436002582227,0.166697209891284
15.0,5-planets,5,-0.014798570054134395,0.10004515624470786
16.0,3-planets,3,0.08966387111926212,0.3333333333333333
16.0,4-planets,4,-0.01931763548107423,0.166678588129605
16.0,5-planets,5,0.010692376802419447,0.10003899780872579
17.0,2-planets,2,,1.0
17.0,3-planets,3,-0.0789371651877867,0.33336836477628595
17.0,4-planets,4,0.11262638431799152,0.16666666666666669
17.0,5-planets,5,-0.003923391334303797,0.10001021595566612
18.0,2-planets,2,,1.0
18.0,3-planets,3,0.02657284048001239,0.3333370743642119
18.0,4-planets,4,-0.021446121952297694,0.16670021045490654
18.0,5-planets,5,0.04460962360224229,0.10000957788149373
19.0,2-planets,2,,1.0
19.0,3-planets,3,0.04274562899354241,0.33333305426538185
19.0,4-planets,4,0.033247240869711744,0.1666743652120545
19.0,5-planets,5,0.0989270900218339,0.10001031939796119
20.0,2-planets,2,,1.0
20.0,3-planets,3,-0.15758694787923364,0.33333755431957324
20.0,4-planets,4,0.02354036796411854,0.1667235417235417
20.0,5-planets,5,-0.03160157948526503,0.10002151491349441
21.0,2-planets,2,,1.0
21.0,3-planets,3,0.12260388901938411,0.3333333333333334
21.0,4-planets,4,-0.06119823968344308,0.16667456763328695
21.0,5-planets,5,-0.061623692813397704,0.1
22.0,2-planets,2,,1.0
22.0,4-planets,4,-0.1280444419547639,0.16670288805925165
22.0,5-planets,5,-0.016338133474764715,0.10001919243645888
23.0,2-planets,2,,1.0
23.0,4-planets,4,0.042176895843721855,0.16672185618562374
23.0,5-planets,5,0.1017927457350421,0.10005468889305842
24.0,2-planets,2,,1.0
24.0,3-planets,3,0.07625827199813233,0.33335640142548134
24.0,4-planets,4,-0.05437035974578761,0.16671378919969906
24.0,5-planets,5,0.040314984050571136,0.10000893848781753
25.0,2-planets,2,,1.0
25.0,3-planets,3,0.04759440734163902,0.33349493643611294
25.0,5-planets,5,-0.0041778770141895375,0.10002174767621719
26.0,2-planets,2,,1.0
26.0,3-planets,3,0.03708686918425193,0.3333333333333333
