subject,condition,n_planets,policy_MI,reward_rate,mean_rt1
12.0,5-planets,5,0.028685863486543863,0.037037037037037035,0.6255151515151516
13.0,2-planets,2,-9.99993738609437e-13,0.034013605442176874,0.5309795918367347
13.0,3-planets,3,0.0016197975233158309,0.05714285714285714,0.4756714285714285
13.0,4-planets,4,0.011778528802832266,0.16387959866220736,0.7506153846153847
13.0,5-planets,5,0.37371403117049734,0.12542372881355932,0.7242881355932204
14.0,2-planets,2,-1.0000106633898414e-12,0.03355704697986577,0.563265100671141
14.0,3-planets,3,0.03470730572557369,0.07333333333333333,0.7020366666666668
14.0,4-planets,4,0.041551520387372434,0.1541095890410959,0.7419760273972602
14.0,5-planets,5,0.03748796009166428,0.05,0.71924
15.0,2-planets,2,-1.0000068406225596e-12,0.05016722408026756,0.658361204013378
15.0,3-planets,3,0.0021812049847243983,0.04861111111111111,0.5646527777777778
15.0,4-planets,4,0.01865230569632209,0.05405405405405406,0.6325067567567568
15.0,5-planets,5,0.01434360357529185,0.04745762711864407,0.5927762711864407
16.0,3-planets,3,0.0055237965264325044,0.04666666666666667,0.5584533333333334
16.0,4-planets,4,0.02247208262711749,0.016835016835016835,0.6196498316498317
16.0,5-planets,5,0.05097027066467309,0.4563758389261745,0.9766912751677852
17.0,2-planets,2,-9.99961430534347e-13,0.003367003367003367,0.43444444444444447
17.0,3-planets,3,0.05624977867201756,0.3400673400673401,0.9234983164983165
17.0,4-planets,4,0.14199696861840982,0.013333333333333334,0.5921233333333333
17.0,5-planets,5,0.015902891792121697,0.08361204013377926,0.7087725752508361
18.0,2-planets,2,-9.999703767735092e-13,0.033783783783783786,0.49716216216216225
18.0,3-planets,3,0.2358907248873469,0.023411371237458192,0.6650133779264213
18.0,4-planets,4,0.06908564860100513,0.1414141414141414,0.7099730639730639
18.0,5-planets,5,0.07488794255953388,0.7525083612040134,1.1730167224080266
19.0,2-planets,2,-1.0000468921465399e-12,0.016891891891891893,0.4964391891891893
19.0,3-planets,3,0.022143466395910767,0.33557046979865773,0.9072885906040267
19.0,4-planets,4,0.00202135421448669,0.07094594594594594,0.6502533783783784
19.0,5-planets,5,0.21623185168229805,0.3879598662207358,0.9446856187290971
20.0,2-planets,2,-9.999852797672181e-13,0.0,0.42969333333333337
20.0,3-planets,3,0.15351212974748535,0.033444816053511704,0.6044615384615385
20.0,4-planets,4,0.04522376125679875,0.29292929292929293,0.850983164983165
